id,collection,subject_id,filename,user_name,created_at,Collected by,Collection date,Collector Number,Country,County,Habitat and description,Location,Scientific author,Scientific name,State/Province
5172a805ded9100e160088a0,Herbarium,516db840ea30524109000cc8,000052345.large.png,not-logged-in,2013-04-20 14:37:02,R. K. Godfey,08/23/1973,72532,,OURAY,mountain meadow,"Small mountain meadow, Red. Mt. Pass, N. of Silverton, el 11,000 ft.",A. Nels,Sedum integrifolium,COLORADO
5173032e5a1d81064c00bfa8,Herbarium,516db293ea3052410900023d,000056899.large.png,not-logged-in,2013-04-20 21:05:50,,,,,OURAY,Small mountain meadow,"Red Mt. Pass, N. of Silverton, el 11000 ft",(Raf.) A. Nels,SEDUM INTEGRIFLORUM,(Raf.) A. Nels
517451975a1d81064c010055,Herbarium,516db87cea30524109000d2a,000056328.large.png,not-logged-in,2013-04-21 20:52:28,R.K. Godfrey,08/23/1973,72532,,Ouray,Small mountain meadow,"Red Mt. Pass, N. of Silverton, el 11,000 ft",A. Nels,Sedum Integrifolium,Colorado
517470675a1d81064c010efe,Herbarium,516dbea5ea3052410900172d,000024311.large.png,not-logged-in,2013-04-21 23:04:07,R. Kral,,58219,,Gadsden,Limerock outcrop ledges,"Limerock outcrop ledges, s. side Chattahoochee",L.,Schoenus nigricans ,FL
5174a7b95a1d81064c011f21,Herbarium,516dc3b3ea30524109001f47,000051710.large.png,not-logged-in,2013-04-22 03:00:09,R. K. Godfrey,08/23/1973,72532,,Ouray,Small mountain meadow,"Red Mt. Pass, N of Silverton, el 11,000 ft.",A. Nels,Sedum integrifolium,CO
5174a8a3ded9100e1600edfe,Herbarium,516dc396ea30524109001f14,000056230.large.png,not-logged-in,2013-04-22 03:04:15,R. K. Godfrey,08/23/1973,72532,,Ouray,Small mountain meadow,"Small mountain meadow, Red Mt. Pass, N of Silverton, el 11,000 ft.",A. Nels,Sedum Integrifolium,CO
51751f4aded9100e160101c9,Herbarium,516db9eaea30524109000fb0,000044693.large.png,not-logged-in,2013-04-22 11:30:18,"James D. Ray Jr., C. Earle Smith, Jr., Olga Lakela, Jackie Patman ",05/19/1961,10946,,Pinellas,"Dense, disturbed white sand scrub with occaional Pinus clausa to 4 m. high. Shrubs to 2.4 m tall; local",Ca. one mi. se. of Snug Harbor on Weedon Island.,Vent.,Befaria racemosa,FL
5175591b5a1d81064c013fa6,Herbarium,516dbb5eea30524109001243,000048855.large.png,not-logged-in,2013-04-22 15:36:59,Patricia Ellott,04/11/1972,149,,Liberty,,Understory tree,Ait,Styrax grandifolia Ait.,FL
51755bb85a1d81064c01403c,Herbarium,516db6daea30524109000a51,000050865.large.png,user1045,2013-04-22 15:47:56,col by,03/04/1974,numer,,Boone,hab and edesc,loc,sci author,sci name,AR
51756bd65a1d81064c014435,Herbarium,516db2daea305241090002ca,000010015.large.png,user2069,2013-04-22 16:56:42,D. S. Correll and Helen B. Correll,03/30/1962,24868,,San Augustine,pine-oak woods,"West of intersection of highways #96 & 103, off the latter highway",Michx.,Senecio tomentosus,TX
51756ddcded9100e16011240,Herbarium,516db595ea3052410900082b,000054849.large.png,not-logged-in,2013-04-22 17:05:45,R.K. Godfrey,08/23/1973,72532,,Ouray,"N of Silverton, el 11,000 ft.","Small mountain meadow, Red Mt. Pass",(Raf.) A. Nels,Sedum untegrifolium,CO
51758d425a1d81064c015693,Herbarium,516dbbf8ea30524109001340,000008440.large.png,not-logged-in,2013-04-22 19:19:17,fgfd,,dfgfd,,Gadsden,gfgd,blah,(Walter) H. Robinson,Arnoglossum ovatum,FL
5175a6f65a1d81064c015fd9,Herbarium,516db534ea3052410900078b,000057103.large.png,user2069,2013-04-22 21:08:57,R. K. Godfrey,08/23/1973,72532,,Ouray,Small mountain meadow,"Red Mt. Pass, N of Silverton, el 11,000 ft.",A. Nels,Sedum integrifolium,CO
5175c527ded9100e16013cf6,Herbarium,516dbdbbea3052410900158f,000053402.large.png,user1044,2013-04-22 23:18:12,R. K. Godfrey,08/23/1973,72532,,Ouray,"Small mountain meadow, Red Mt. Pass","N of Silverton, el 11,000 ft.",(Raf.) A. Nels,Sedum Integrifolium,CO
5175c8155a1d81064c0170fe,Herbarium,516dc396ea30524109001f15,000012706.large.png,user1044,2013-04-22 23:30:29,Frank R. Stermitz,07/16/1972,FRS-42,,Larimer,Plentiful; in full bloom;,10 miles west of Highway 287 on Livermore-Red Feather Lakes road NW of Fort Collins,Nutt.,Helianthus pumilus,CO
5175c858ded9100e16013e7a,Herbarium,516dc1acea30524109001c31,000024272.large.png,user1044,2013-04-22 23:31:49,Sidney McDaniel,10/11/1963,3810,,Calhoun,Local in low wet area near 'island' in slash pine savanna,5 miles south of Blountstown,(Vahl) Wood,Psilocarya nitens,FL
5175c8a8ded9100e16013e89,Herbarium,516db66bea3052410900098e,000008617.large.png,user1044,2013-04-22 23:32:56,"Paul L. Redfearn, Jr.",09/15/1955,905-122-55,,Liberty,Coarse sandy soil. Cleared turkey oak forest.,5 miles west of Hosford on US 20,L.,Aster concolor,FL
5175ec3e5a1d81064c0179d3,Herbarium,516db181ea30524109000032,000012683.large.png,not-logged-in,2013-04-23 02:04:33,Stuttgart,07/18/1937,,,Arkansas,Prairies,Rice region,Lam,Helianthus mollis,AR
51769ed5ded9100e160167eb,Herbarium,516dc0cdea30524109001aae,000024119.large.png,not-logged-in,2013-04-23 14:46:45,R. K. Godfrey,11/23/1964,65639,,Martin,Wet sandy-peaty ditches bordering pine flatwoods.,Wet snady-peaty ditches bordering pine flatwoods 6 miles W of Stuart,R. K. Godfrey,Hernicuha aristulate,FL
5176a8b2de59d9044e0021cd,Herbarium,516db5e9ea305241090008bb,000050728.large.png,not-logged-in,2013-04-23 15:28:44,R. K. Godfrey,08/23/1973,72532,,Ouray,Small mountain meadow,"Small mountain meadow, Red Mt, Pass, Silveron ",A. Nels,Sedum Integrifolium,CO
5176abeeded9100e16016cd3,Herbarium,516dc1d3ea30524109001c78,000040556.large.png,user843,2013-04-23 15:42:38,R. Kral,09/05/1957,5707,,Palm Beach,Frequent on moist sandy peat of abandoned tomato field.,Corbitt Wildlife Mgmt. area NW of Loxahatchee,Hitchc. & Chase,Leptochola uninervia,FL
5176ac3fde59d9044e002494,Herbarium,516dbb96ea3052410900129c,000053921.large.png,user843,2013-04-23 15:43:54,,,141515,,placeholder,,,R.K. Godfrey Herbarium,,FL
5176ac70ded9100e16016d56,Herbarium,516db430ea3052410900058a,000054312.large.png,user1027,2013-04-23 15:44:53,R. K. Godfrey,,72532,,Ouray,"Small Mountain meadow N of Silverton, el 11,000 ft",Red Mt. Pass,A. Nels,Sedum integrifolium,CO
5176acebded9100e16016dbb,Herbarium,516db413ea3052410900054a,000047085.large.png,user843,2013-04-23 15:46:51,R.K. Godfrey,05/07/1983,80551,,Lafayette,"Shrub 1-1.5 m tall. Hardwood hammock, well-drained, ca 25 m from creek, by Fla. Rt. 53, 10.9 miles S of I-10, S of Madison.",,R.K. Godfrey,Ilex Ambigua (Michx.) Torr.,FL
5176af18de59d9044e002609,Herbarium,516db874ea30524109000d1c,000053627.large.png,not-logged-in,2013-04-23 15:56:03,R. K. Godfrey,08/23/1973,72532,,Ouray,Small mountain meadow,"Red Mt. Pass, N of Silverton, el 11,000ft",(Raf.) A. Nels,SEDUM INTEGRIFOLIUM,CO
5176c037de59d92151000303,Herbarium,516db5c8ea30524109000885,000053684.large.png,not-logged-in,2013-04-23 17:09:11,R. K. Godfrey,08/23/1973,72532,,Ouray,Small mountain meadow,"Red Mt. Pass, N of Silverton, el 11,000 ft.",(Raf.) A. Nels,Sedum integrifolium,CO
5176c0f3ded91035b600028a,Herbarium,516db558ea305241090007cb,000050377.large.png,not-logged-in,2013-04-23 17:12:19,Sidney McDaniel,09/24/1964,5272,,Gulf,"common in Hypericum bog, corolla yellow",12 miles west of Wewahitchka,Chapm.,Xyris serotina,FL
5176c8efde59d92515000312,Herbarium,516db962ea30524109000eaf,000056657.large.png,not-logged-in,2013-04-23 17:46:23,A. Nels,08/23/1973,72532,,Ouray,,"Small Mountain meadow, Red Mt. Pass, N of silverton, el 11,000 ft",A. Nels,SEDUM INTEGRIFOLIUM,CO
5176c9a7de59d9251500033b,Herbarium,516db524ea3052410900076d,000050537.large.png,not-logged-in,2013-04-23 17:49:27,R. K. Godfrey,08/23/1973,72532,,Ouray,Small mountain meadow,"small mountain meadow, Red. Mt. Pass, N of Silverton, el 11,000 ft.",r. k. godfrey,sedum integrifolium (raf.) a. nels,CO
5176c9b9de59d92515000347,Herbarium,516dc3b3ea30524109001f46,000051699.large.png,user1622,2013-04-23 17:49:45,R. K. Godfrey,08/23/1973,72532,,Ouray,Small mountain meadow,"Small mountain meadow, Red Mt. Pass, N of Silverton, el 11,000 ft.",(Raf.) A. Nels,SEDUM INTEGRIFOLIUM,CO
5176ca0dde59d92515000367,Herbarium,516dbabeea30524109001123,000052839.large.png,user1622,2013-04-23 17:51:03,R. K. Godfrey,08/23/1973,72532,,Ouray,Small mountain meadow,"Red Mt. Pass, N of Silverton, el 11,000 ft.",(Raf.) A. Nels,Sedum integrifolium,CO
5176ca27de59d9251500036e,Herbarium,516db683ea305241090009bc,000034830.large.png,not-logged-in,2013-04-23 17:51:35,W. R. Fryar,07/04/1964,4,,Leon,,grown in the greenhouse,Small,Eupatorium capillifolium,FL
